ell_or_theta,measured_statistic
7.10740060467,1.14897043468e-05
8.94852716408,7.49161306927e-06
11.2639723858,9.25908712644e-06
14.1807359343,4.7137405991e-06
17.8534557457,1.14949392621e-06
22.4740015311,3.25726767597e-06
28.294719087,3.18038872749e-06
35.6184303034,8.61032337918e-07
44.8391900185,2.63247754924e-06
56.4481961046,1.27485688485e-06
71.0604934511,8.31725786068e-07
89.4559009379,3.3780508568e-07
112.617628245,2.50595082724e-07
141.765910055,3.49938254799e-07
178.463105846,5.12738680562e-11
224.645465556,-1.40449358591e-08
