ell_or_theta,measured_statistic
7.10749723083,3.11391897467e-06
8.94873111048,5.06292030048e-06
11.2640387615,1.04796371436e-05
14.1805368746,6.90142456194e-06
17.853885412,4.78389705117e-06
22.473645087,1.9704042566e-06
28.295385695,3.2336964948e-06
35.6185637433,2.61533371569e-06
44.8393106498,1.98179969423e-06
56.4482102438,1.37602681097e-06
71.0606334056,1.61287104427e-06
89.4561596376,1.14308862321e-06
112.619208371,4.17169402199e-07
141.766206483,3.88037899426e-09
178.464693408,-5.2481769526e-07
224.647797346,2.52081587793e-07
