ell_or_theta,measured_statistic
5.64559817403,2.74233241167e-05
7.10734443491,1.37476489107e-05
8.94862246413,1.49097267467e-05
11.263838251,9.0115977008e-06
14.1806519778,7.91621577115e-06
17.8535627184,6.39551960206e-06
22.4736861448,6.94344137602e-06
28.2949609633,1.69607513686e-06
35.6183642475,5.60048462637e-06
44.8392568582,2.75813742482e-06
56.447686833,3.18830190862e-06
71.0595910408,1.45171261724e-06
89.4549406347,1.67839045571e-06
112.618310591,9.0545163162e-07
141.764457425,1.16908801639e-06
178.462246901,1.43514573965e-07
224.645870462,3.47956496981e-07
