ell_or_theta,measured_statistic
28.2934623975,5.79982094276e-05
35.616958213,4.64883344119e-05
44.8385924402,3.74641727865e-05
56.4475516599,2.27850862316e-05
71.0592847144,2.13367363981e-05
89.4557669328,4.80985564997e-05
112.615482074,4.72720821497e-05
141.765500531,3.17094950321e-05
178.459724361,3.10255263379e-05
224.643819815,1.73433964609e-05
