ell_or_theta,measured_statistic
56.4469132135,3.91440429232e-06
71.0590102677,8.70491265865e-07
89.4534378773,1.07971606354e-06
112.616644763,1.32508317977e-06
141.764337175,1.05765265943e-06
178.461202501,1.2917548762e-06
224.643083425,7.45416721742e-07
