ell_or_theta,measured_statistic
8.94816624707,5.92979981297e-06
11.2636380594,6.4536563629e-06
14.1803336486,5.18158880111e-06
17.8530660625,4.55472155907e-06
22.4735302988,5.28761801421e-06
28.2940603108,2.22190028244e-06
35.6177848871,-3.2626526497e-07
44.8385629559,9.38565978743e-07
56.4476535313,5.36384227386e-07
71.0593708263,5.27771882512e-07
89.4556538022,5.62322764984e-07
112.616224272,2.89413131867e-07
141.764483508,-2.65590205179e-08
178.462377292,2.70088722121e-08
224.64444232,-2.10178708617e-07
