ell_or_theta,measured_statistic
5.64527469185,6.12170963629e-06
7.10702515194,8.12497485039e-06
8.94810050437,3.18100396418e-06
11.2634723176,1.76661015646e-05
14.1802929205,7.16098206654e-06
17.8527882518,6.71434414716e-06
22.4734575837,2.73034112496e-06
28.2937602099,2.58437308551e-06
35.6175069256,4.43636663707e-06
44.838262328,1.48000193259e-06
56.4470461921,1.39584477956e-06
71.0584353295,2.24189886893e-06
89.4546400132,1.88815696619e-06
112.615440194,6.03042695719e-07
141.76401151,3.30315539268e-07
178.46021899,-1.50814173552e-07
224.64331688,3.68579816424e-07
