ell_or_theta,measured_statistic
4.48386461478,5.65167512163e-05
5.64514089228,2.89395772299e-05
7.1069689832,4.07057736043e-05
8.94861476991,2.74482814059e-05
11.263235199,2.48472920783e-05
14.1796885717,1.75849904381e-05
17.8537042005,9.45818964366e-06
22.4720160992,1.89701678459e-05
28.2952548103,1.83176595407e-05
35.6174365384,9.91175993273e-06
44.8381971441,4.86031528573e-06
56.44646048,6.36448013483e-06
71.0585298472,3.52712674573e-06
89.4524446058,2.53983895532e-06
112.61891512,2.09407048149e-06
141.762931536,9.75671676964e-07
178.462620927,-1.83579412302e-07
224.647192863,1.68002161299e-06
