ell_or_theta,measured_statistic
71.0584353295,6.84642208684e-07
89.4546400132,2.43520553648e-07
112.615440194,1.10960726414e-06
141.76401151,5.6207019065e-07
178.46021899,2.95473112884e-07
224.64331688,4.77889183007e-07
