ell_or_theta,measured_statistic
4.48397541126,4.10726833474e-05
5.64528932291,2.71232102991e-05
7.10691712359,2.48029696574e-05
8.9481406295,2.1779000586e-05
11.2632665183,1.28869997509e-05
14.1801754072,1.58322159571e-05
17.8526618314,6.69944068931e-06
22.4732117685,9.6115912559e-06
28.293866609,6.42031807092e-06
35.617396047,5.88328288628e-06
44.8383089351,5.89019052432e-06
56.4469132135,3.91560971222e-06
71.0590102677,3.71838055941e-06
89.4534378773,1.94932558506e-06
112.616644763,1.38013427423e-06
141.764337175,9.29540003223e-07
178.461202501,3.12992276935e-07
224.643083425,-3.88917045282e-07
