ell_or_theta,measured_statistic
8.94802742892,9.58043368881e-06
11.263593115,4.11232591379e-06
14.1801213601,1.85443317055e-06
17.8530322632,4.75013950724e-06
22.4731916107,2.49030151045e-06
28.2940551371,9.92184397192e-07
35.6174691479,2.68855819934e-07
44.838191602,1.15435716182e-07
56.4473199837,1.05796314964e-06
71.0592960721,1.29483320019e-06
89.4554104928,2.91463144322e-07
112.615605852,1.74310350606e-08
141.763748768,1.61734787945e-07
178.462629273,-5.23055434627e-08
224.643889594,-8.32849551875e-08
