z,dndz
0.0051,0.0
0.015099999999999999,0.0
0.0251,0.0
0.035100000000000006,0.0
0.0451,0.0
0.0551,0.0
0.0651,0.0
0.07510000000000001,0.0
0.0851,0.0
0.0951,0.0
0.10510000000000001,0.0
0.1151,0.0
0.1251,0.0
0.1351,0.0
0.1451,0.0
0.1551,0.0
0.1651,0.0
0.17509999999999998,0.0
0.1851,0.0
0.1951,0.0
0.2051,0.0
0.21509999999999999,0.0
0.2251,0.0
0.23509999999999998,0.0
0.24509999999999998,0.0
0.2551,0.0
0.2651,0.0
0.2751,0.0
0.2851,0.0
0.2951,0.0
0.3051,0.0
0.3151,0.0
0.3251,0.0
0.3351,0.0
0.3451,0.0
0.35509999999999997,0.0
0.3651,0.0
0.3751,0.0
0.3851,0.0
0.3951,0.0
0.4051,0.0
0.4151,0.0
0.4251,0.0
0.4351,0.0
0.4451,0.0
0.4551,0.0
0.4651,0.0
0.47509999999999997,0.0
0.4851,0.0
0.4951,0.0
0.5051,0.0
0.5151,0.0
0.5251,0.0
0.5351,0.0
0.5451,0.002398541644531007
0.5551,0.0
0.5651,0.0
0.5751,0.0
0.5851,0.0
0.5951,0.0
0.6051,0.0
0.6151,0.0
0.6251,0.002368853328085031
0.6351,0.014181964436753427
0.6451,0.0
0.6551,0.007120331105393235
0.6651,0.023686910370634494
0.6751,0.07161679499267268
0.6851,0.11458251974788185
0.6951,0.20597391731274156
0.7051000000000001,0.40094538906553273
0.7151,0.781176207946224
0.7251,1.2441971233419027
0.7351,1.7975588507308917
0.7451,2.4875155997330842
0.7551,3.592928478310602
0.7651,4.3292518047365505
0.7751,5.098634723048015
0.7851,5.567252024345139
0.7951,6.284835126193201
0.8051,6.524972847676553
0.8151,6.547374935879568
0.8251000000000001,6.826776367521831
0.8351,7.058458542651104
0.8451,6.938114286218205
0.8551,6.850570351899023
0.8651,6.272433541925189
0.8751,5.468501003635497
0.8851,4.684201406582025
0.8951,3.7490512803219422
0.9051,2.7206204969631713
0.9151,1.7234238485105384
0.9251,1.1266122054347867
0.9351,0.6562727571546
0.9451,0.3405040752965921
0.9551000000000001,0.1986584418983296
0.9651,0.1202375899387202
0.9751,0.06085019223239143
0.9851,0.026560706141669575
0.9951,0.01906500737474547
1.0050999999999999,0.009318683992730902
1.0151000000000001,0.023293856209982942
1.0251,0.011858865992098708
1.0351000000000001,0.006715071288677225
1.0451,0.0021741460688627693
1.0551000000000001,0.0022059794648963123
1.0651,0.0026054705500311785
1.0751000000000002,0.0
1.0851,0.0
1.0951000000000002,0.0
1.1051,0.0023428807863971014
1.1151000000000002,0.0
1.1251,0.0
1.1351000000000002,0.0
1.1451,0.0
1.1551,0.0
1.1651,0.0
1.1750999999999998,0.0
1.1851,0.0
1.1950999999999998,0.0
1.2051,0.0
1.2150999999999998,0.0
1.2251,0.0
1.2350999999999999,0.0
1.2451,0.0
1.2550999999999999,0.0
1.2651000000000001,0.0
1.2751,0.0
1.2851000000000001,0.0
1.2951,0.0
1.3051000000000001,0.0
1.3151,0.0
1.3251000000000002,0.0
1.3351,0.0
1.3451000000000002,0.0
1.3551,0.0
1.3651000000000002,0.0
1.3751,0.0
1.3851000000000002,0.0
1.3951,0.0
1.4051,0.0
1.4151,0.0
1.4250999999999998,0.0
1.4351,0.0
1.4450999999999998,0.0
1.4551,0.0
1.4650999999999998,0.0
1.4751,0.0
1.4850999999999999,0.0
1.4951,0.0
1.5050999999999999,0.0
1.5151000000000001,0.0
1.5251,0.0
1.5351000000000001,0.0
1.5451,0.0
1.5551000000000001,0.0
1.5651,0.0
1.5751000000000002,0.0
1.5851,0.0
1.5951000000000002,0.0
1.6051,0.0
1.6151000000000002,0.0
1.6251,0.0
1.6351000000000002,0.0
1.6451,0.0
1.6551000000000002,0.0
1.6651,0.0
1.6750999999999998,0.0
1.6851,0.0
1.6950999999999998,0.0
1.7051,0.0
1.7150999999999998,0.0
1.7251,0.0
1.7350999999999999,0.0
1.7451,0.0
1.7550999999999999,0.0
1.7651000000000001,0.0
1.7751,0.0
1.7851000000000001,0.0
1.7951,0.0
1.8051000000000001,0.0
1.8151,0.0
1.8251000000000002,0.0
1.8351,0.0
1.8451000000000002,0.0
1.8551,0.0
1.8651000000000002,0.0
1.8751,0.0
1.8851000000000002,0.0
1.8951,0.0
1.9051000000000002,0.0
1.9151,0.0
1.9250999999999998,0.0
1.9351,0.0
1.9450999999999998,0.0
1.9551,0.0
1.9650999999999998,0.0
1.9751,0.0
1.9850999999999999,0.0
1.9951,0.0
2.0051,0.0
2.0151000000000003,0.0
2.0251000000000006,0.0
2.0351000000000004,0.0
2.0451,0.0
2.0551,0.0
2.0651,0.0
2.0751000000000004,0.0
2.0851,0.0
2.0951,0.0
2.1051,0.0
2.1151000000000004,0.0
2.1251,0.0
2.1351,0.0
2.1451000000000002,0.0
2.1551000000000005,0.0
2.1651000000000002,0.0
2.1751,0.0
2.1851000000000003,0.0
2.1951000000000005,0.0
2.2051000000000003,0.0
2.2151,0.0
2.2251000000000003,0.0
2.2351000000000005,0.0
2.2451000000000003,0.0
2.2551,0.0
2.2651000000000003,0.0
2.2751000000000006,0.0
2.2851000000000004,0.0
2.2951,0.0
2.3051000000000004,0.0
2.3151,0.0
2.3251000000000004,0.0
2.3351,0.0
2.3451,0.0
2.3551,0.0
2.3651000000000004,0.0
2.3751,0.0
2.3851,0.0
2.3951000000000002,0.0
2.4051000000000005,0.0
2.4151000000000002,0.0
2.4251,0.0
2.4351000000000003,0.0
2.4451000000000005,0.0
2.4551000000000003,0.0
2.4651,0.0
2.4751000000000003,0.0
2.4851000000000005,0.0
2.4951000000000003,0.0
2.5051,0.0
2.5151000000000003,0.0
2.5251000000000006,0.0
2.5351000000000004,0.0
2.5451,0.0
2.5551000000000004,0.0
2.5651,0.0
2.5751000000000004,0.0
2.5851,0.0
2.5951,0.0
2.6051,0.0
2.6151000000000004,0.0
2.6251,0.0
2.6351,0.0
2.6451000000000002,0.0
2.6551000000000005,0.0
2.6651000000000002,0.0
2.6751,0.0
2.6851000000000003,0.0
2.6951000000000005,0.0
2.7051000000000003,0.0
2.7151,0.0
2.7251000000000003,0.0
2.7351000000000005,0.0
2.7451000000000003,0.0
2.7551,0.0
2.7651000000000003,0.0
2.7751000000000006,0.0
2.7851000000000004,0.0
2.7951,0.0
2.8051000000000004,0.0
2.8151,0.0
2.8251000000000004,0.0
2.8351,0.0
2.8451,0.0
2.8551,0.0
2.8651000000000004,0.0
2.8751,0.0
2.8851,0.0
2.8951000000000002,0.0
2.9051000000000005,0.0
2.9151000000000002,0.0
2.9251,0.0
2.9351000000000003,0.0
2.9451000000000005,0.0
2.9551000000000003,0.0
2.9651,0.0
2.9751000000000003,0.0
2.9851000000000005,0.0
2.9951000000000003,0.0
