i,val
494,0.0000000000000000e+00
495,0.0000000000000000e+00
496,0.0000000000000000e+00
497,0.0000000000000000e+00
498,0.0000000000000000e+00
499,0.0000000000000000e+00
500,1.7953570000000002e-05
501,1.9023490000000001e-05
502,1.8211089999999998e-05
503,1.5208620000000000e-05
504,1.1410080000000000e-05
505,8.7053990000000003e-06
506,6.4319729999999999e-06
507,3.8003730000000000e-06
508,2.3908169999999999e-06
509,1.4367529999999999e-06
510,0.0000000000000000e+00
511,0.0000000000000000e+00
512,0.0000000000000000e+00
513,0.0000000000000000e+00
514,0.0000000000000000e+00
515,0.0000000000000000e+00
516,0.0000000000000000e+00
517,0.0000000000000000e+00
518,0.0000000000000000e+00
519,0.0000000000000000e+00
520,1.3640560000000000e-05
521,1.4973670000000000e-05
522,1.5092029999999999e-05
523,1.3442730000000000e-05
524,1.0460379999999999e-05
525,7.7937020000000001e-06
526,6.0808950000000002e-06
527,3.7941210000000002e-06
528,2.4766020000000002e-06
529,1.4439310000000001e-06
530,8.5022479999999999e-07
531,0.0000000000000000e+00
532,0.0000000000000000e+00
533,0.0000000000000000e+00
534,0.0000000000000000e+00
535,0.0000000000000000e+00
536,0.0000000000000000e+00
537,0.0000000000000000e+00
538,0.0000000000000000e+00
539,0.0000000000000000e+00
